## //////////////////////////////////////////////////////////////////////////////////
## 
## PEATLAND C BALANCE (LPX)
## 
## Annual peatland net ecosystem productivity (NEP) and total global peatland C 
## storage (TOTC), simulated by LPX. 
## 
## NEP represents the net CO2 exchange between the biosphere and the atmosphere over 
## active peatlands only. This is compared to annual values of NCB in Fig. S1 (Stocker 
## et al., 2017). TOTC represents the total global amount of C stored in active 
## peatlands as simulated by LPX and is compared in Fig. 1 (Stocker 
## et al., 2017) to cumulative values of YML NCB. Cumulative NEP is not identical to 
## TOTC due to simulated spatial shifts in peatland extent and decaying peat C not
## accounted for in NEP.
## 
## Citation: Stocker et al.: Holocene peatland and ice core data constraints on 
## the timing and magnitude of CO2 emissions from past land use, PNAS, 2017
##
## This data is made available under the GNU General Public License v3.0
##
## Columns description:
## 1.  year      year CE
## 2.  nep       net ecosystem productivity, summed over all peatland areas globally (PgC yr-1)
## 3.  totc      total global carbon storage in peatlands (PgC)
## 
## ----------------------------------------------------------------------------------
"year","nep","totc"
-6255,0.049845922,365.30783
-6245,0.042389508,365.16044
-6235,0.041114116,363.0144
-6225,0.055964043,363.31572
-6215,0.059332131,366.26313
-6205,0.047527449,367.59659
-6195,0.047057444,368.83529
-6185,0.049776556,369.83992
-6175,0.046019119,370.8594
-6165,0.046111965,369.89164
-6155,0.037878774,368.36025
-6145,0.042928883,367.27169
-6135,0.040494282,367.9561
-6125,0.034805609,369.93921
-6115,0.060733119,372.20412
-6105,0.035811252,373.42511
-6095,0.047479284,373.9493
-6085,0.043671515,373.80421
-6075,0.046357203,374.0622
-6065,0.042841467,374.15198
-6055,0.051101706,374.00568
-6045,0.047256471,376.13061
-6035,0.048909863,378.33769
-6025,0.050928142,381.35113
-6015,0.055341745,381.50785
-6005,0.057944695,380.84885
-5995,0.062708671,379.86974
-5985,0.048590382,381.02888
-5975,0.053483779,383.34941
-5965,0.060575342,386.18885
-5955,0.050505778,387.69654
-5945,0.053594109,386.40255
-5935,0.059760863,384.47824
-5925,0.05764345,384.01103
-5915,0.059329891,384.88693
-5905,0.051026128,383.49507
-5895,0.045218601,383.15495
-5885,0.036744783,383.30621
-5875,0.042824558,385.04688
-5865,0.050435746,386.49543
-5855,0.067712213,388.59972
-5845,0.075255737,391.75156
-5835,0.063835523,391.47337
-5825,0.052283292,389.53184
-5815,0.047124437,388.47837
-5805,0.059410213,388.09584
-5795,0.0620712,387.79248
-5785,0.052867948,387.54933
-5775,0.06093832,389.0448
-5765,0.053388819,391.49366
-5755,0.050059678,394.34096
-5745,0.044686724,392.84611
-5735,0.052127421,391.32626
-5725,0.056794104,390.63175
-5715,0.053258408,391.80069
-5705,0.047714348,391.84236
-5695,0.036583875,391.74295
-5685,0.043296308,393.19806
-5675,0.032219798,395.8606
-5665,0.031609544,398.71258
-5655,0.049464432,401.0092
-5645,0.036574316,398.73743
-5635,0.043021057,395.26595
-5625,0.064835646,390.90854
-5615,0.062499115,389.37014
-5605,0.055999971,391.77227
-5595,0.061290169,395.37065
-5585,0.059912548,398.00193
-5575,0.059132339,397.85501
-5565,0.066982786,397.12108
